Applicants Total,Applications Total
10575,10204
10456,10455
10653,9740
10305,9501
9839,9437
10157,9397
9804,9358
10035,9306
10418,9253
9910,9216
9909,9197
9878,9174
9214,9176
9273,9180
10116,9224
9693,9113
9614,9127
9382,9382
11720,9904
11971,9807
11778,9918
12174,9913
12351,9974
10902,10003
10896,9965
11819,10104
12274,9963
11066,10040
11044,10073
9998,9715
10678,9952
10792,10107
10394,9846
10502,9776
11093,9036
10828,9110
11456,9377
10688,9229
11453,9372
10709,9245
11244,9534
11352,9608
11124,9751
11159,9566
11552,9539
11101,9534
12414,9799
12335,9809
11899,9656
12435,9846
11634,9176
11912,9119
11791,9136
11830,9049
11722,9043
11675,9254
11819,9283
11650,9220
11907,9241
11331,9216
11428,9269
11258,9292
11354,9281
11118,9187
11191,9069
11019,9152
12937,9406
11933,9427
13182,9346
11900,9574
12197,9471
12752,9471
11612,9527
12383,9212
12002,9318
12314,9295
12172,9211
12406,9178
12364,9399
12056,9351
12199,9433
12259,9188
13671,9141
14188,9124
13928,9334
13529,9425
13436,9163
13537,9275
12924,9180
13156,9339
12556,9034
12501,9392
13191,9096
12920,9107
13330,9121
12799,9026
13213,9061
12555,9352
13277,9808
12747,9854
13055,9729
13006,9648
13520,9601
13769,9595
12808,9675
13006,9613
13021,9594
13850,9619
14009,9807
14156,9786
14057,9777
13384,9457
14068,9766
13742,9416
13735,10539
13670,10456
13851,10032
13758,10366
13895,10001
14152,9980
13635,10128
13018,10024
14182,9972
13311,10054
14056,10613
14025,10090
14161,10561
12885,9900
12966,9996
13301,9839
10842,10226
11592,10332
11783,10214
10946,10328
12139,10648
11993,10426
10854,10501
11847,10507
12152,10317
12309,10328
12581,10630
13321,10524
12609,10198
12379,10253
12536,10662
13055,10521
13996,11211
13613,11205
14116,10976
14108,10757
14058,11016
13339,10820
12549,10953
12955,10940
12442,10949
12882,10724
12325,10926
13142,10758
13136,11079
13094,10939
11802,10740
12078,10735
13799,11570
13901,11724
14204,11591
13985,11654
13741,11655
13335,11600
12861,11563
12952,11625
12957,11574
13272,11436
14043,11360
13366,11372
12457,11503
14042,11395
12886,11492
13885,11298
15970,13259
15996,13256
15604,13386
15815,13415
15722,13362
15772,13369
12835,12557
14752,13529
15099,13446
13109,12546
13911,13343
12389,11433
13231,12207
13980,12231
14008,11775
14141,11921
15784,12417
15175,12501
15548,12592
15060,12503
15013,12801
15006,12723
14540,12541
14335,12475
14478,12980
14229,12496
14372,12580
15094,13232
15745,13027
15795,13220
15438,13128
15353,13174
16689,12647
17223,12406
17293,12586
16870,12957
16487,12575
16881,12443
15248,12793
16846,12554
16559,12564
15712,12888
16367,12781
16580,12706
15973,12692
15574,12717
15860,12533
15629,12683
17463,13486
17429,13480
17086,13335
16918,13370
17234,13433
16772,13223
16780,13367
16442,13166
16535,13301
16655,13404
16101,13077
17081,13032
17265,13101
16960,13249
17557,12440
17344,12863
20768,12691
19981,13389
20963,12872
20414,12931
20951,12596
20805,12905
21311,13451
19112,13432
20759,12731
20235,12939
17931,13196
18214,13148
18650,13504
18413,13423
17907,13236
17929,13394
18132,12131
17858,12293
18617,12492
18411,11885
18358,12655
18509,12670
18485,12914
19170,12709
18575,12770
18323,12827
19021,12887
18731,12593
18825,12924
19335,12765
18320,12691
19245,12522
19904,11554
21178,11744
20451,11599
20918,11655
20685,11467
20475,11563
20829,11801
19957,11948
19928,12398
21268,12264
20542,12337
19860,11627
20224,12327
19262,12143
18977,11926
18813,12016
16132,11583
16871,11647
16210,11533
16131,11549
18984,11777
18160,11318
16253,11401
18027,11593
18651,11772
17818,11676
16890,11492
17209,11501
17463,11298
18563,11359
18862,11447
19410,11366
15664,12007
16719,12232
16826,12080
16217,12251
16545,12140
16793,12014
15500,11843
16108,11848
16169,12326
17034,12311
16349,11720
17569,11645
16002,11721
17099,12028
17215,12327
16348,11668
14956,11906
14818,11789
14815,11697
14888,11738
14263,11741
14816,12277
14413,11986
14887,12219
14890,12006
14419,12105
15066,12135
14887,12219
14621,12113
15208,12160
15811,12283
15706,12243
15962,11820
15560,11589
15253,11285
15442,11555
14862,11816
14878,11530
15942,11427
15298,11302
15291,11629
15265,11686
15629,11441
15689,11370
15324,11827
14685,11825
14933,11336
15579,11529
14620,10866
14775,10938
14796,10784
14933,10735
15036,10938
14540,10983
14258,11484
14223,10992
15093,11092
14308,10934
14438,11553
14577,11035
15100,11143
14825,11269
14650,11450
14595,11308
17569,11062
17695,11262
16551,11228
16842,11012
16519,11072
16088,11089
16418,11137
16154,11221
15253,11013
15526,11168
15670,10930
15917,11012
15239,11165
15847,10725
15166,10822
15289,10911
17671,10529
17477,10547
17750,10710
16749,10630
16313,10707
17072,10803
16696,10992
17328,10915
16327,10773
17518,10866
16711,10714
17063,11048
17768,10871
17051,11022
16268,10929
17140,11003
15354,10582
15658,10429
15153,10362
15221,10196
15427,10321
15331,10334
16383,10372
17407,10167
17120,10156
16282,10224
17649,10311
17408,10318
17118,10364
16964,10353
17252,10291
17448,10478
14537,10196
14684,10185
14812,10408
14603,10427
14444,10419
14222,10332
14221,10341
14396,10435
14236,10645
14459,10680
14405,10629
